NominalCode,Date,Narrative,Amount
530580 - Parental income from wraparound provision,01/26/2024,Breakfast Club,-30.77
530580 - Parental income from wraparound provision,01/31/2024,Breakfast Club,-634.39
530580 - Parental income from wraparound provision,01/31/2024,Breakfast Club,-110.76
530580 - Parental income from wraparound provision,02/01/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,02/01/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,02/01/2024,Breakfast Club,-51.69
530580 - Parental income from wraparound provision,02/01/2024,Breakfast Club,-12.31
530580 - Parental income from wraparound provision,02/02/2024,Breakfast Club,-87.37
530580 - Parental income from wraparound provision,02/02/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,02/03/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,02/06/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,02/07/2024,Breakfast Club,-412.26
530580 - Parental income from wraparound provision,02/07/2024,Breakfast Club,-353.81
530580 - Parental income from wraparound provision,02/14/2024,Breakfast Club,-439.34
530580 - Parental income from wraparound provision,02/14/2024,Breakfast Club,-310.73
530580 - Parental income from wraparound provision,02/20/2024,Breakfast Club,-86.14
530580 - Parental income from wraparound provision,02/21/2024,Breakfast Club,-132.29
530580 - Parental income from wraparound provision,02/21/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,02/21/2024,Breakfast Club,-49.23
530580 - Parental income from wraparound provision,02/27/2024,Breakfast Club,-210.68
530580 - Parental income from wraparound provision,02/27/2024,Breakfast Club,-90.45
530580 - Parental income from wraparound provision,02/28/2024,Breakfast Club,-633.78
530580 - Parental income from wraparound provision,02/28/2024,Breakfast Club,-110.76
530580 - Parental income from wraparound provision,03/01/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,03/01/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,03/01/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,03/02/2024,Breakfast Club,-163.67
530580 - Parental income from wraparound provision,03/02/2024,Breakfast Club,-60.3
530580 - Parental income from wraparound provision,03/02/2024,Breakfast Club,-25.23
530580 - Parental income from wraparound provision,03/05/2024,Breakfast Club,-467.64
530580 - Parental income from wraparound provision,03/05/2024,Breakfast Club,-412.88
530580 - Parental income from wraparound provision,03/07/2024,Breakfast Club,-66.76
530580 - Parental income from wraparound provision,03/07/2024,Breakfast Club,-41.23
530580 - Parental income from wraparound provision,03/10/2024,Breakfast Club,-43.07
530580 - Parental income from wraparound provision,03/14/2024,Breakfast Club,-624.55
530580 - Parental income from wraparound provision,03/14/2024,Breakfast Club,-347.65
530580 - Parental income from wraparound provision,03/20/2024,Breakfast Club,-35.69
530580 - Parental income from wraparound provision,03/21/2024,Breakfast Club,-430.72
530580 - Parental income from wraparound provision,03/21/2024,Breakfast Club,-79.99
530580 - Parental income from wraparound provision,03/21/2024,Breakfast Club,-56.61
530580 - Parental income from wraparound provision,03/23/2024,Breakfast Club,-11.69
530580 - Parental income from wraparound provision,03/28/2024,Breakfast Club,-369.3
530580 - Parental income from wraparound provision,03/28/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,03/31/2024,Breakfast Club,-24.61
530580 - Parental income from wraparound provision,04/03/2024,Breakfast Club,-67.68
530580 - Parental income from wraparound provision,04/03/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,04/03/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,04/03/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,04/03/2024,Breakfast Club,-24.61
530580 - Parental income from wraparound provision,04/04/2024,Breakfast Club,-445.49
530580 - Parental income from wraparound provision,04/04/2024,Breakfast Club,-316.27
530580 - Parental income from wraparound provision,04/11/2024,Breakfast Club,-46.76
530580 - Parental income from wraparound provision,04/11/2024,Breakfast Club,-30.77
530580 - Parental income from wraparound provision,04/12/2024,Breakfast Club,-154.44
530580 - Parental income from wraparound provision,04/12/2024,Breakfast Club,-132.29
530580 - Parental income from wraparound provision,04/13/2024,Breakfast Club,-98.45
530580 - Parental income from wraparound provision,04/18/2024,Breakfast Club,-73.84
530580 - Parental income from wraparound provision,04/21/2024,Breakfast Club,-118.14
530580 - Parental income from wraparound provision,04/25/2024,Breakfast Club,-424.68
530580 - Parental income from wraparound provision,04/25/2024,Breakfast Club,-203.05
530580 - Parental income from wraparound provision,05/02/2024,Breakfast Club,-452.26
530580 - Parental income from wraparound provision,05/02/2024,Breakfast Club,-301.5
530580 - Parental income from wraparound provision,05/02/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,05/02/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,05/02/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,05/03/2024,Breakfast Club,-191.98
530580 - Parental income from wraparound provision,05/03/2024,Breakfast Club,-79.99
530580 - Parental income from wraparound provision,05/05/2024,Breakfast Club,-147.68
530580 - Parental income from wraparound provision,05/05/2024,Breakfast Club,-81.22
530580 - Parental income from wraparound provision,05/09/2024,Breakfast Club,-46.76
530580 - Parental income from wraparound provision,05/10/2024,Breakfast Club,-750.69
530580 - Parental income from wraparound provision,05/10/2024,Breakfast Club,-261.51
530580 - Parental income from wraparound provision,05/10/2024,Breakfast Club,-49.23
530580 - Parental income from wraparound provision,05/10/2024,Breakfast Club,-43.69
530580 - Parental income from wraparound provision,05/16/2024,Breakfast Club,-267.66
530580 - Parental income from wraparound provision,05/16/2024,Breakfast Club,-153.83
530580 - Parental income from wraparound provision,05/17/2024,Breakfast Club,-17.23
530580 - Parental income from wraparound provision,05/19/2024,Breakfast Club,-118.14
530580 - Parental income from wraparound provision,05/23/2024,Breakfast Club,-412.26
530580 - Parental income from wraparound provision,05/23/2024,Breakfast Club,-166.14
530580 - Parental income from wraparound provision,05/31/2024,Breakfast Club,-455.95
530580 - Parental income from wraparound provision,05/31/2024,Breakfast Club,-264.59
530580 - Parental income from wraparound provision,06/01/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,06/01/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,06/01/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,06/01/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,06/02/2024,Breakfast Club,-39.38
530580 - Parental income from wraparound provision,06/06/2024,Breakfast Club,-280.58
530580 - Parental income from wraparound provision,06/06/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,06/07/2024,Breakfast Club,-123.06
530580 - Parental income from wraparound provision,06/07/2024,Breakfast Club,-123.06
530580 - Parental income from wraparound provision,06/07/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,06/13/2024,Breakfast Club,-578.4
530580 - Parental income from wraparound provision,06/13/2024,Breakfast Club,-362.42
530580 - Parental income from wraparound provision,06/13/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,06/20/2024,Breakfast Club,-347.65
530580 - Parental income from wraparound provision,06/20/2024,Breakfast Club,-86.14
530580 - Parental income from wraparound provision,06/20/2024,Breakfast Club,-16
530580 - Parental income from wraparound provision,06/21/2024,Breakfast Club,-118.14
530580 - Parental income from wraparound provision,06/27/2024,Breakfast Club,-387.65
530580 - Parental income from wraparound provision,06/27/2024,Breakfast Club,-46.15
530580 - Parental income from wraparound provision,06/28/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,06/28/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,06/29/2024,Breakfast Club,-228.9
530580 - Parental income from wraparound provision,06/29/2024,Breakfast Club,-103.99
530580 - Parental income from wraparound provision,06/30/2024,Breakfast Club,-30.77
530580 - Parental income from wraparound provision,07/03/2024,Breakfast Club,-79.99
530580 - Parental income from wraparound provision,07/03/2024,Breakfast Club,-79.99
530580 - Parental income from wraparound provision,07/03/2024,Breakfast Club,-49.23
